Unit_Name,Designation,State,Region,NPS_Fee_Acres,NPS_Less_Than_Fee_Acres,Other_Federal_Fee_Acres,Subtotal_Federal_Acres,Other_Public_Acres,Private_Acres,Subtotal_Non_Federal_Acres,Gross_Area_Acres
FREDERICK DOUGLASS NHS,National Historic Site,DC,National Capital,8.57,0.0,0.0,8.57,0.0,0.0,0.0,8.57
FT DAVIS NHS,National Historic Site,TX,Intermountain,523.0,0.0,0.0,523.0,0.0,0.0,0.0,523.0
FT CAROLINE NMEM,Memorial,FL,Southeast,137.26,0.0,0.0,137.26,0.0,1.13,1.13,138.39
FT FREDERICA NM,National Monument,GA,Southeast,281.02,2.18,0.0,283.2,0.0,1.29,1.29,284.49
FT DONELSON NB,National Battlefield,TN-KY,Southeast,1017.07,0.0,226.49,1243.56,17.14,48.21,65.35,1308.91
FRED-SPOTS MEM NMP,National Military Park,VA,Northeast,7465.45,85.69,0.0,7551.14,13.2,840.84,854.04,8405.18
FREDERICK LAW OLMSTED NHS,National Historic Site,MA,Northeast,7.06,0.15,0.0,7.21,0.0,0.0,0.0,7.21
FT BOWIE NHS,National Historic Site,AZ,Intermountain,999.45,0.0,0.0,999.45,0.0,0.0,0.0,999.45
FRIENDSHIP HILL NHS,National Historic Site,PA,Northeast,661.44,0.0,0.0,661.44,0.0,13.12,13.12,674.56
GRAND CANYON NP,National Park,AZ,Intermountain,1180650.85,0.0,0.0,1180650.85,11860.0,9136.18,20996.18,1201647.03
GOVERNORS ISLAND NM,National Monument,NY,Northeast,22.4,0.01,0.0,22.41,0.0,0.5,0.5,22.91
GRAND TETON NP,National Park,WY,Intermountain,272837.32,8.85,34984.62,307830.79,1293.34,919.83,2213.17,310043.96
GRAND PORTAGE NM,National Monument,MN,Midwest,709.97,0.0,0.0,709.97,0.0,0.0,0.0,709.97
GLEN CANYON NRA,National Recreation Area,AZ-UT,Intermountain,1238621.99,0.0,1141.85,1239763.84,14352.78,0.0,14352.78,1254116.62
GOLDEN SPIKE NHS,National Historic Site,UT,Intermountain,2203.2,0.0,0.0,2203.2,0.0,532.08,532.08,2735.28
GOLDEN GATE NRA,National Recreation Area,CA,Pacific West,34742.86,24.55,324.97,35092.38,44382.21,2552.27,46934.48,82026.86
GRANT-KOHRS RANCH NHS,National Historic Site,MT,Intermountain,1325.83,165.63,0.0,1491.46,69.47,57.45,126.92,1618.38
GREAT SMOKY MTS NP,National Park,TN-NC,Southeast,521984.15,92.58,0.0,522076.73,0.0,350.15,350.15,522426.88
GREAT EGG HARBOR N RIVER,National River,NJ,Northeast,0.0,0.0,0.0,0.0,43311.42,0.0,43311.42,43311.42
GREAT BASIN NP,National Park,NV,Pacific West,77180.0,0.0,0.0,77180.0,0.0,0.0,0.0,77180.0
GREAT SAND DUNES NP,National Park,CO,Intermountain,94687.84,0.0,0.0,94687.84,40.0,12614.03,12654.03,107341.87
GREAT SAND DUNES N PRES,National Preserve,CO,Intermountain,41686.0,0.0,0.0,41686.0,0.0,0.0,0.0,41686.0
G W MEMORIAL PKWY,Parkway,MD-VA,National Capital,6270.93,460.16,88.17,6819.26,108.5,107.46,215.96,7035.22
G W BIRTHPLACE NM,National Monument,VA,Northeast,550.23,0.0,0.0,550.23,0.0,102.95,102.95,653.18
GATES OF THE ARCTIC NP,National Park,AK,Alaska,7273702.2,86108.0,0.0,7359810.2,1292.0,162795.25,164087.25,7523897.45
GATES OF ARCTIC N PRES,National Preserve,AK,Alaska,948203.0,0.0,0.0,948203.0,0.0,405.07,405.07,948608.07
FT UNION TRADING POST NHS,National Historic Site,ND-MT,Midwest,246.8,123.43,0.0,370.23,67.29,2.62,69.91,440.14
GLACIER NP,National Park,MT,Intermountain,1012845.75,54.34,0.0,1012900.09,2.51,226.34,228.85,1013128.94
FT WASHINGTON PARK,Park,MD,National Capital,341.0,0.0,0.0,341.0,0.0,0.0,0.0,341.0
FT VANCOUVER NHS,National Historic Site,WA,Pacific West,164.7,0.63,32.08,197.41,9.31,0.0,9.31,206.72
GATEWAY NRA,National Recreation Area,NJ-NY,Northeast,20164.67,1.63,279.24,20445.54,5558.9,602.19,6161.09,26606.63
GILA CLIFF DWELNGS NM,National Monument,NM,Intermountain,533.13,0.0,0.0,533.13,0.0,0.0,0.0,533.13
GETTYSBURG NMP,National Military Park,PA,Northeast,4569.88,590.81,0.01,5160.7,43.21,828.63,871.84,6032.54
GLACIER BAY NP,National Park,AK,Alaska,3222284.2,0.0,0.0,3222284.2,0.0,1099.23,1099.23,3223383.43
GLACIER BAY N PRESERVE,National Preserve,AK,Alaska,58406.0,0.0,0.0,58406.0,0.0,0.0,0.0,58406.0
GENERAL GRANT NMEM,Memorial,NY,Northeast,0.76,0.0,0.0,0.76,0.0,0.0,0.0,0.76
GAULEY RIVER NRA,National Recreation Area,WV,Northeast,4473.2,61.67,43.36,4578.23,989.83,5998.4,6988.23,11566.46
GEORGE WASH CARVER NM,National Monument,MO,Midwest,210.0,0.0,0.0,210.0,0.0,0.0,0.0,210.0
GEORGE R CLARK NHP,National Historical Park,IN,Midwest,25.3,0.0,0.0,25.3,0.87,0.0,0.87,26.17
HOVENWEEP NM,National Monument,CO-UT,Intermountain,784.93,0.0,0.0,784.93,0.0,0.0,0.0,784.93
HOT SPRINGS NP,National Park,AR,Midwest,4998.1,0.0,0.0,4998.1,333.89,217.11,551.0,5549.1
INDEPENDENCE NHP,National Historical Park,PA,Northeast,33.27,0.6,0.0,33.87,4.95,6.03,10.98,44.85
HUBBELL T P NHS,National Historic Site,AZ,Intermountain,160.09,0.0,0.0,160.09,0.0,0.0,0.0,160.09
HOPEWELL CULTURE NHP,National Historical Park,OH,Midwest,1138.3,8.05,0.0,1146.35,0.11,619.7,619.81,1766.16
HORSESHOE BEND NMP,National Military Park,AL,Southeast,2040.0,0.0,0.0,2040.0,0.0,0.0,0.0,2040.0
HOPEWELL FURNACE NHS,National Historic Site,PA,Northeast,848.06,0.0,0.0,848.06,0.0,0.0,0.0,848.06
INDIANA DUNES NL,National Lakeshore,IN,Midwest,10540.9,500.0,0.0,11040.9,3416.75,889.48,4306.23,15347.13
JEAN LAFITTE NHP,National Historical Park,LA,Southeast,17568.13,0.4,0.0,17568.53,2376.01,2476.32,4852.33,22420.86
J F KENNEDY NHS,National Historic Site,MA,Northeast,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.09
ISLE ROYALE NP,National Park,MI,Midwest,539281.87,0.0,0.0,539281.87,32508.24,0.0,32508.24,571790.11
JDROCKEFELLER MEM PKWY,Parkway,WY,Intermountain,23777.22,0.0,0.0,23777.22,0.0,0.0,0.0,23777.22
JAMES A GARFIELD NHS,National Historic Site,OH,Midwest,7.82,0.0,0.0,7.82,0.0,0.0,0.0,7.82
HAGERMAN FOSSIL BEDS,Other Designation,ID,Pacific West,4334.65,0.0,0.0,4334.65,0.0,16.5,16.5,4351.15
GULF ISLANDS NS,National Seashore,FL-MS,Southeast,95223.93,2.09,4553.25,99779.27,37807.56,718.69,38526.25,138305.52
HAMILTON GRANGE NMEM,Memorial,NY,Northeast,0.11,0.93,0.0,1.04,0.0,0.71,0.71,1.75
HALEAKALA NP,National Park,HI,Pacific West,33264.47,0.0,0.0,33264.47,0.15,0.0,0.15,33264.62
GREENBELT PARK,Park,MD,National Capital,1105.79,0.0,0.0,1105.79,58.3,11.33,69.63,1175.42
HONOULIULI NM,National Monument,HI,Pacific West,123.02,0.0,0.0,123.02,0.0,31.44,31.44,154.46
